,id,created_at,original_text,clean_text,polarity,subjectivity,favorite_count,retweet_count,possibly_sensitive,hashtags,user_mentions,place
68,1257977861031542788,Wed May 06 10:17:48 +0000 2020,"On a road to nowhere......

#mtb #mtblife #mtblifestyle #cannondale #cannondalemtb #lockdown #lockdownsa #sun #freshair with a mask! @ Edenvale, Gauteng, South Africa https://t.co/pxDsSYJlWD",On road nowhere ... ... mask Edenvale Gauteng South Africa,0.0,0.0,0,1,False,"mtb, mtblife, mtblifestyle, cannondale, cannondalemtb, lockdown, lockdownsa, sun, freshair",,"Edenvale, South Africa"
69,1284535896767901696,Sat Jul 18 17:09:57 +0000 2020,Always chasing sunshine #girlswhohike #Saturdaywalks #sunshine #freshair https://t.co/dHiUJr9twB,Always chasing sunshine,0.0,0.0,14,1,False,"girlswhohike, Saturdaywalks, sunshine, freshair",,"Sandton, South Africa"
70,1274559934605283334,Sun Jun 21 04:29:03 +0000 2020,"Immunological angle to the #AirPollution and #VitaminD deficiency nexus in #COVID19 transmission
https://t.co/4P8PA9Xc6A",Immunological angle deficiency nexus transmission,0.0,0.0,12,6,False,"AirPollution, VitaminD, COVID19",,"Central, Ghana"
71,1274557028128772096,Sun Jun 21 04:17:30 +0000 2020,"#AirPollution exposure and #VitaminD deficiency nexus in #COVID19 transmission
https://t.co/4NiOIUasb0",exposure deficiency nexus transmission,0.0,0.0,3,0,False,"AirPollution, VitaminD, COVID19",,"Central, Ghana"
72,1262066681465180160,Sun May 17 17:05:19 +0000 2020,Thoughts on #indoor #airquality in #Africa #cleanenergy has to be part of #COVID19 response and as we go forward #BuildBackBetter let us reduce #injustice of #AirPollution with #policies reducing #inequalities #cleancooking @CCACoalition @c40cities @UNEP https://t.co/9K7hzYAJyr,Thoughts part response go forward let us reduce reducing,0.0,0.0,5,2,False,"indoor, airquality, Africa, cleanenergy, COVID19, BuildBackBetter, injustice, AirPollution, policies, inequalities, cleancooking","CCACoalition, c40cities, UNEP","Nairobi, Kenya"
73,1257745348711329801,Tue May 05 18:53:53 +0000 2020,"What about the #Airpollution indoors during #COVID19, how can we ensure #cleanenergy for #Africa households #cookinginquarantine means good #AirQuality for all? A short commentary- let us take action!  @IEA @UNEP_Africa @WHOAFRO @UNHABITAT @CCACoalition @AirQualityKenya https://t.co/0sQx0stAvl",What indoors ensure households means good A short commentary- let us take action,0.26666666666666666,0.3333333333333334,21,11,False,"Airpollution, COVID19, cleanenergy, Africa, cookinginquarantine, AirQuality","IEA, UNEP_Africa, WHOAFRO, UNHABITAT, CCACoalition, AirQualityKenya","Nairobi, Kenya"
74,1252923429688393730,Wed Apr 22 11:33:18 +0000 2020,Did you know that 95% of the people In the world breathe unsafe air and actually only 1 in every 20 people in the world breathe air that is considered safe? #AirPollution #deCOALonize This conversation currently ongoing join using this link https://t.co/9BPhB0imGY https://t.co/zHn7NRKiH1,Did know people In world breathe unsafe air actually every people world breathe air considered safe This conversation currently ongoing join using link,0.16666666666666666,0.3333333333333333,15,10,False,"AirPollution, deCOALonize",,"Nairobi, Kenya"
75,1257738629985730561,Tue May 05 18:27:11 +0000 2020,"Air pollution in Africa in the time of COVID-19 commentary by @AndriannahM @SEIresearch in @CleanAirJ. Exposure to indoor air pollution is the “elephant in the room” as there are directives to stay at home, yet the health burden from indoor pollution is so high. https://t.co/Sxbirt1xlq",Air pollution Africa time COVID-19 commentary Exposure indoor air pollution elephant room directives stay home yet health burden indoor pollution high,0.16,0.5399999999999999,22,17,False,,"AndriannahM, SEIresearch, CleanAirJ",
76,1255724504610988032,Thu Apr 30 05:03:46 +0000 2020,"The AQI is Good in Nairobi, see more on AirVisual https://t.co/6T9wIkAHJp",The AQI Good Nairobi see AirVisual,0.7,0.6000000000000001,0,0,False,,,"Nairobi, Kenya"
77,1278002563292504070,Tue Jun 30 16:28:49 +0000 2020,"The #AirQuality data is open and available online, already this is a huge step https://t.co/CiBNQPh2IG",The data open available online already huge step,0.26666666666666666,0.6,4,0,False,AirQuality,,"Nairobi, Kenya"
