,Unnamed: 0,id,created_at,clean_text,hashtags,place,timeline
393,228,1.3044E+18,2020-09-11 13:02:17+00:00,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
394,229,1.30954E+18,2020-09-25 17:05:08+00:00,Safer travel,,,post
395,230,1.30976E+18,2020-09-26 07:57:33+00:00,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
396,231,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
397,232,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
398,233,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
399,234,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
400,235,1.29293E+18,2020-08-10 20:59:00+00:00,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
401,236,1.3044E+18,2020-09-11 13:02:17+00:00,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
402,237,1.30954E+18,2020-09-25 17:05:08+00:00,Safer travel,,,post
403,238,1.30976E+18,2020-09-26 07:57:33+00:00,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
404,239,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
405,240,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
406,241,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
407,242,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
408,243,1.29293E+18,2020-08-10 20:59:00+00:00,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
409,244,1.3044E+18,2020-09-11 13:02:17+00:00,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
410,245,1.30954E+18,2020-09-25 17:05:08+00:00,Safer travel,,,post
411,246,1.30976E+18,2020-09-26 07:57:33+00:00,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
412,247,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
413,248,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
414,249,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
415,250,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
