,id,created_at,clean_text,hashtags,place,timeline
34,1296446705920081922,Thu Aug 20 13:59:16 +0000 2020,Throw back Thursday We Osten Lagos Nigeria,"OstenLaboratory, Ostenlab, airquality, airqualitymeasurement, environmentalanalysis, analysis","Lagos, Nigeria",post
35,1309419842785759233,Fri Sep 25 09:09:53 +0000 2020,Ascertaining Niger delta Nigeria Send thoughts ⁦⁩ nigerrescue.com,AirQuality,,post
36,1311026294503727108,Tue Sep 29 19:33:20 +0000 2020,Everywhere calm No biggie Mary Martha Rema ...,freshair,,post
37,1303751165977464832,Wed Sep 09 17:44:35 +0000 2020,You get IPIP Receiver abi plenty updates already dy chock,"parachute, oxygenmask, FreshAIR","Lagos, Nigeria",post
38,1289988191605288960,Sun Aug 02 18:15:26 +0000 2020,She love colours ️ …,"love, fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
39,1289994735000735744,Sun Aug 02 18:41:26 +0000 2020,Those High waist pants 🤩🤩 love …,"fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
40,1310441968338599936,Mon Sep 28 04:51:26 +0000 2020,With Sun King families breath cleaner air This removes worries harmful particulates emitted Kerosene lanterns knowing loved ones safer healthier,"Sunking, solarnergy, endenergypoverty",,post
41,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
42,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
43,1296446705920081922,Thu Aug 20 13:59:16 +0000 2020,Throw back Thursday We Osten Lagos Nigeria,"OstenLaboratory, Ostenlab, airquality, airqualitymeasurement, environmentalanalysis, analysis","Lagos, Nigeria",post
44,1309419842785759233,Fri Sep 25 09:09:53 +0000 2020,Ascertaining Niger delta Nigeria Send thoughts ⁦⁩ nigerrescue.com,AirQuality,,post
45,1311026294503727108,Tue Sep 29 19:33:20 +0000 2020,Everywhere calm No biggie Mary Martha Rema ...,freshair,,post
46,1303751165977464832,Wed Sep 09 17:44:35 +0000 2020,You get IPIP Receiver abi plenty updates already dy chock,"parachute, oxygenmask, FreshAIR","Lagos, Nigeria",post
