,id,created_at,clean_text,hashtags,place,timeline
252,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
253,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
254,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
255,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
256,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
257,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
258,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
259,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
260,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
261,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
262,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
263,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
264,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
265,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
266,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
267,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
268,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
269,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
270,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
271,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
272,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
273,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
274,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
275,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
276,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
277,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
278,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
279,1.30288E+18,Mon Sep 07 07:59:35 +0000 2020,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
280,1.30288E+18,Mon Sep 07 08:09:45 +0000 2020,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
281,1.30288E+18,Mon Sep 07 07:59:35 +0000 2020,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
282,1.30288E+18,Mon Sep 07 08:09:45 +0000 2020,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
283,1.30288E+18,Mon Sep 07 07:59:35 +0000 2020,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
284,1.30288E+18,Mon Sep 07 08:09:45 +0000 2020,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
285,1.30288E+18,Mon Sep 07 07:59:35 +0000 2020,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
286,1.30288E+18,Mon Sep 07 08:09:45 +0000 2020,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
287,1.30288E+18,Mon Sep 07 07:59:35 +0000 2020,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
288,1.30288E+18,Mon Sep 07 08:09:45 +0000 2020,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
289,1.30288E+18,Mon Sep 07 07:59:35 +0000 2020,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
290,1.30288E+18,Mon Sep 07 08:09:45 +0000 2020,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
